Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
224,WR,MIN,Jauan Jennings,6,71.59,,,,,,,,,
225,QB,ATL,Tua Tagovailoa,11,71.57,,,,,,,,,
226,RB,SF,Kaelon Black,8,68.87,,,,,,,,,
227,RB,WAS,Kaytron Allen,7,67.77,,,,,,,,,
228,RB,NO,Alvin Kamara,8,67.1,,,,,,,,,
229,RB,NYG,Najee Harris,8,66.45,,,,,,,,,
230,WR,NYG,Darius Slayton,8,66.05,,,,,,,,,
231,WR,HOU,Jaylin Noel,8,64.77,,,,,,,,,
232,TE,LAR,Colby Parkinson,11,64.27,,,,,,,,,
233,WR,PHI,Hollywood Brown,10,64.27,,,,,,,,,
234,WR,WAS,Antonio Williams,7,64.02,,,,,,,,,
235,WR,BUF,Keon Coleman,7,63.19,,,,,,,,,
236,RB,LAC,Kimani Vidal,7,62.13,,,,,,,,,
237,RB,DET,Jacob Saylors,6,61.23,,,,,,,,,
238,WR,BAL,Rashod Bateman,13,60.96,,,,,,,,,
239,TE,SEA,Elijah Arroyo,11,60.61,,,,,,,,,
240,WR,BAL,Elijah Sarratt,13,60.61,,,,,,,,,
241,RB,MIA,Ollie Gordon,6,60.35,,,,,,,,,
242,WR,CAR,Xavier Legette,5,59.42,,,,,,,,,
243,WR,MIA,Jalen Tolbert,6,41.22,,,,,,,,,
244,WR,JAC,Travis Hunter,7,58.78,,,,,,,,,
245,TE,LAR,Tyler Higbee,11,57.57,,,,,,,,,
246,WR,TEN,Chimere Dike,9,57,,,,,,,,,
247,WR,MIA,Chris Bell,6,73.91,,,,,,,,,
248,TE,LV,Michael Mayer,13,55.9,,,,,,,,,
249,WR,HOU,Xavier Hutchinson,8,55.5,,,,,,,,,
250,TE,PIT,Darnell Washington,9,55.47,,,,,,,,,
